完整地址,X,Y
高雄市楠梓區東寧里2鄰楠梓路116之35號,181069.662,2514589.199
高雄市左營區尾北里11鄰左營下路262號,177931.821,2510219.466
高雄市左營區果峰里7鄰中華一路9號,176797.473,2507771.043
高雄市左營區新上里40鄰富國路60號,178756.135,2506636.72
高雄市鼓山區新民里15鄰延平街87之13號,175268.106,2502751.913
高雄市鼓山區光榮里9鄰九如四路1460巷45號,176081.909,2506733.018
高雄市鹽埕區中山里1鄰七賢三路123號,176185.277,2503067.916
高雄市鹽埕區教仁里1鄰瀨南街141之6號,176225.978,2502935.912
高雄市旗津區振興里1鄰大關路1之1號,174803.057,2501453.882
高雄市旗津區中興里10鄰中港街10號,177739.484,2497284.947
高雄市旗津區慈愛里11鄰旗津三路1050號,174783.978,2501304.361
高雄市新興區東坡里20鄰南華路40之4號,178317.23,2503496.6
高雄市新興區建興里16鄰南臺路161之9號,177864.312,2504078.93
高雄市前金區民生里10鄰大同二路28巷5之2號,177551.079,2503190.907
高雄市三民區鳳南里14鄰中華三路285之39號,177310.07,2504091.99
高雄市三民區灣中里10鄰建工路852巷26號,179756.768,2505531.955
高雄市苓雅區鼓中里21鄰苓雅二路135號,177800.595,2502005.873
高雄市苓雅區和煦里18鄰青年一路163之8號,178908.174,2502581.879
高雄市苓雅區福南里3鄰福安路369巷1號,180760.317,2503210.882
高雄市苓雅區林中里18鄰四維二路151號,180029.041,2502613.174
高雄市苓雅區正大里19鄰輔仁路123號,181391.641,2503358.728
高雄市前鎮區鎮陽里12鄰前鎮街291號,178823.132,2499291.788
高雄市鳳山區成功里7鄰第一市場10號,184077.633,2502674.293
高雄市鳳山區新興里7鄰民生路21號,184270.179,2502878.169
高雄市大寮區會社里7鄰鳳林三路315之22號,188103.799,2500181.62
高雄市大樹區大樹里2鄰中興南路111號,191724.2,2509881.74
高雄市大樹區久堂里28鄰中興街市場巷17號,190368.84,2506570.009
高雄市橋頭區白樹里17鄰興樹路14號,178481.7,2517818.08
高雄市岡山區岡山里11鄰平和路6號,177818.527,2521716.262
高雄市岡山區平安里10鄰岡山路239號,177675.19,2521547.83
高雄市梓官區梓義里2鄰中崙路市場巷78號,174854.51,2517955.99
高雄市彌陀區彌陀里11鄰中華路53號,172959.92,2520197.77
高雄市永安區永安里2鄰永安路2巷2號,170381.753,2524424.163
高雄市茄萣區嘉泰里21鄰頂漁路70號,166151.959,2533303.946
高雄市湖內區中賢里13鄰中正路二段322號,168811.513,2534350.591
高雄市阿蓮區清蓮里6鄰中山路30巷26號,181125.258,2531196.723
高雄市田寮區南安里20鄰崗北路24之1號,184293.79,2530364.484
高雄市旗山區湄洲里20鄰平和街12號,196894.622,2532118.776
高雄市美濃區祿興里16鄰中正路二段30號,202824.562,2532472.041
高雄市甲仙區和安里4鄰和安街103號,207903.37,2553672.833
高雄市六龜區義寶里24鄰四維街36之2號,212695.64,2543764.54
高雄市三民區本館里1鄰建工路384巷6號,181093.472,2505998.958
高雄市三民區灣利里27鄰新民路170巷7號,180395.621,2506088.966
高雄市三民區寶興里9鄰正忠路144號,181187.766,2504856.926
高雄市三民區寶龍里4鄰建德路161號,180580.926,2505218.941
高雄市三民區德東里4鄰遼寧二街188巷14號,177828.918,2504982.955
高雄市三民區安宜里7鄰漢口街306號,177834.926,2505600.973
高雄市三民區達明里15鄰瀋陽街145巷14號,178764.288,2505050.95
高雄市三民區力行里11鄰中都街15號,176698.03,2504513.952
高雄市三民區寶盛里7鄰臥龍路52號,181127.157,2504380.913
高雄市三民區安吉里22鄰懷安街128巷11號,179816.663,2504734.933
高雄市新興區勃海街41號,0,0
高雄市新興區順昌里24鄰尚文街29號,179537.636,2504023.916
高雄市前金區長生里5鄰自強二路66巷18號,177679.685,2502843.896
高雄市苓雅區福康里13鄰漢昌街24巷24號,181162.132,2502321.929
高雄市苓雅區廣澤里13鄰興中一路429巷30號,178603.844,2501867.862
高雄市苓雅區林興里9鄰廣州二街95巷11號,179982.37,2502104.379
高雄市苓雅區正仁里12鄰文昌路16巷2號,182047.717,2503622.884
高雄市苓雅區林圍里14鄰福建街315號,179481.12,2502971.879
高雄市苓雅區正心里22鄰正言路122號,181316.266,2503910.898
高雄市鹽埕區新化里6鄰大勇路8號,176204.671,2502411.896
高雄市左營區新下里22鄰重安路1巷16號,177989.668,2508479.052
高雄市前鎮區明正里17鄰明道五街16號,180634.201,2498213.427
高雄市前鎮區鎮榮里16鄰鎮榮街28之1號,179254.801,2499099.574
高雄市前鎮區瑞西里6鄰瑞和街280巷8號,180702.087,2500761.814
高雄市前鎮區瑞隆里20鄰崗山南街26號,181649.255,2500655.804
高雄市鼓山區平和里12鄰九如四路725巷5號,175857.382,2505771.993
高雄市鼓山區忠正里22鄰大榮街186巷2弄8號,175642.269,2506159.007
高雄市鼓山區華豐里20鄰華榮路543號,177418.109,2507875.89
高雄市楠梓區福昌里1鄰右昌街187巷19號,176916.231,2512519.174
高雄市楠梓區中陽里17鄰楠都西巷147號,180701.829,2514129.188
高雄市楠梓區加昌里19鄰樂群路179巷14號,177730.301,2513325.191
高雄市楠梓區和昌里14鄰和光街125巷51號,177490.682,2512170.856
高雄市小港區店鎮里7鄰明芳街61號,183372.934,2495998.66
高雄市小港區三苓里4鄰永義街27巷9號,183147.622,2496398.673
高雄市小港區高松里12鄰松興路32巷4號,185634.614,2497284.677
高雄市小港區港南里7鄰小港路232號,181683.41,2496154.677
高雄市鳳山區鎮西里29鄰忠義街2之1號,183801.399,2503241.819
高雄市鳳山區國富里16鄰凱旋路280號,183086.14,2501663.72
高雄市鳳山區正義里15鄰南江街153巷12號,182053.37,2500413.74
高雄市鳳山區興仁里39鄰安寧街62巷11號,183650.179,2502316.93
高雄市鳳山區新甲里10鄰大明路92號,182346.07,2501073.95
高雄市鳳山區中和里24鄰自由路208之1號,183072.429,2502964.529
高雄市鳳山區鎮西里36鄰光復路一段6號,183600.739,2503369.109
高雄市鳳山區北門里24鄰民興路51號,184494.67,2503744.589
高雄市鳳山區東門里17鄰仁愛路60巷81號,185639.459,2502744.149
高雄市鳳山區五福里27鄰南進二街18之1號,180853.87,2499063.75
高雄市鳳山區鎮南里32鄰五甲二路542之1號,181455.799,2499768.439
高雄市鳥松區仁美里32鄰高碼二路1號,187249.829,2506535.7
高雄市鳥松區鳥松里43鄰文前路1號,184559.859,2507046.47
高雄市橋頭區東林里10鄰里林東路10號,177346.214,2518283.95
高雄市大社區三奶里4鄰三民路321巷18號,182969.255,2514324.615
