Column1,Column2,Column3,Column4
行政區別,市場名稱,市場地址,電話
楠梓,楠梓,高雄市楠梓區楠梓路116號,351-1036
左營,哈囉,高雄市左營區左營下路262號,588-4660 583-0012
左營,果貿,高雄市左營區中華一路9號,582-6148
左營,龍華,高雄市左營區富國路60號,558-9765
鼓山,鼓山第一,高雄市鼓山區延平街87之13號,521-8178
鼓山,鼓山第三,高雄市鼓山區九如四路1460巷45號,583-0060
鹽埕,鹽埕示範,高雄市鹽埕區七賢三路123號,531-2683
鹽埕,鹽埕第一,高雄市鹽埕區瀨南街141號之7號,551-4385
旗津,旗津,高雄市旗津區大關路540巷108號,571-6464
旗津,中興,高雄市旗津區中港街10號,571-2517
旗津,旗后觀光市場,高雄市旗津區旗津三路1050號,571-0825
新興,新興第一,高雄市新興區南華路40之4號,271-3306
新興,新興第二,高雄市新興區南台路161之10號,287-3586
前金,前???金,高雄市前金區大同二路28巷5之2號,271-3194
三民,三民第一,高雄市三民區中華三路285-39號,272-7639
三民,三民第二,高雄市三民區建工路852巷26之1號,386-2641
苓雅,苓雅,高雄市苓雅區苓雅二路135號,334-9782
苓雅,國民,高雄市苓雅區青年一路163之8號,332-4516 334-1744
苓雅,中華,高雄市苓雅區福安路369巷1號,723-5543
苓雅,林德官,高雄市苓雅區四維二路151號,711-5983
苓雅,武廟,高雄市苓雅區輔仁路123號,723-3738
前鎮,前鎮第二,高雄市前鎮區前鎮街291號,831-4787
鳳山,鳳山第一,高雄市鳳山區成功里第一市場2號,746-2772
鳳山,鳳山第二,高雄市鳳山區新興里民生路21號3樓,742-1501
大寮,大發市場,高雄市大寮區鳳林三路315-22號3F,無
大樹,大樹市場,高雄市大樹區大樹村中興南路113號,652-4307
大樹,九曲堂市場,高雄市大樹區久堂村中興街市場巷21號,652-4307
橋頭,橋頭市場,高雄市橋頭區舊市巷14號,611-3503
岡山,平安市場,高雄市岡山區平和路民生街口,622-5264
岡山,文賢市場,高雄市岡山區岡山路239號,621-5816
梓官,梓官第一,高雄市梓官區中崙路市場巷78號,617-3430
彌陀,彌陀市場,高雄市彌陀區中華路53號,無
永安,永安市場,高雄市永安區永安路2巷10號,無
茄萣,茄萣市場,茄萣區嘉泰里頂漁路70號,無
湖內,湖內市場,湖內區中正路二段325號,無
阿蓮,阿蓮市場,高雄市阿蓮區中山路30巷26號,無
田寮,田寮市場,高雄市田寮區崗北路24-1號(沒住址/旁邊住家→為接水電),無
旗山,旗山市場,高雄市旗山區湄洲里平和街12號,661-4714
美濃,美濃市場,高雄市美濃區中正路二段50號,無
甲仙,甲仙市場,高雄市甲仙區和安街103號,無
六龜,六龜市場,高雄市六龜區四維街40號,無
